OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,SiteEnergyUse(kBtu),ComplianceStatus,Outlier,usage_type
26761,2016,NonResidential,Small- and Mid-Sized Office,North Lake Office Bldg.,100 NE Northlake Way,Seattle,WA,98105.0,4206900485,4,LAKE UNION,47.65373,-122.32721,2007,1.0,3,44510,18228,26282,"Office, Parking",Office,26282.0,Parking,18228.0,,,,2188051.25,Compliant,,Multi-usages
26773,2016,NonResidential,Worship Facility,Lake City Presbyterian Church,3841 NE 123rd Street,Seattle,WA,98125.0,8820901145,5,NORTH,47.71705,-122.28577,1954,1.0,1,21624,0,21624,Worship Facility,Worship Facility,21624.0,,,,,,666687.5,Compliant,,Mono-usage
26833,2016,NonResidential,Small- and Mid-Sized Office,Sixth & King Associates,601 S. King Street,Seattle,WA,98104.0,5247801875,2,DOWNTOWN,47.59819,-122.32599,1993,0.0,3,21600,0,21600,"Office, Restaurant",Office,11600.0,Restaurant,10000.0,,,,1539176.625,Compliant,,Multi-usages
26834,2016,NonResidential,Mixed Use Property,(ID26834) SOO YUEN ASSOCIATION BUILDING,525 MAYNARD AVE S,Seattle,WA,98104.0,5247801900,2,DOWNTOWN,47.59769,-122.32537,1909,1.0,3,20620,0,20620,"Multifamily Housing, Retail Store, Social/Meeting Hall",Multifamily Housing,10060.0,Retail Store,5280.0,Social/Meeting Hall,5280.0,,747456.875,Compliant,,Multi-usages
26838,2016,NonResidential,Hotel,Panama Hotel,605 S. Main St.,Seattle,WA,98104.0,5247801965,2,DOWNTOWN,47.59983,-122.32598,1910,1.0,5,40552,0,40552,Hotel,Hotel,40552.0,,,,,,1200180.875,Compliant,,Mono-usage
26847,2016,NonResidential,Small- and Mid-Sized Office,KOBE PARK BUILDING,622 S Washington St,Seattle,WA,98104.0,5247802080,2,DOWNTOWN,47.60105,-122.32542,1909,1.0,3,31432,0,31432,"Multifamily Housing, Office, Other",Office,23059.0,Other,7125.0,Multifamily Housing,1248.0,,1439572.375,Compliant,,Multi-usages
26849,2016,NonResidential,Retail Store,C & T BLDG,650 S JACKSON STREET,Seattle,WA,98104.0,5247802260,2,DOWNTOWN,47.59935,-122.32468,1917,1.0,2,24550,0,24550,"Office, Retail Store",Retail Store,13500.0,Office,11050.0,,,,977230.3125,Compliant,,Multi-usages
26883,2016,NonResidential,Other,Washington Hall,153 14th Avenue,Seattle,WA,98122.0,4226900030,3,CENTRAL,47.60285,-122.31458,1908,1.0,3,25864,0,25864,"Office, Social/Meeting Hall",Social/Meeting Hall,13364.0,Office,8420.0,,,,1028277.313,Compliant,,Multi-usages
26905,2016,NonResidential,Other,Kappa Alpha Theta,4521 17th Ave NE,Seattle,WA,98105.0,8823902405,4,NORTHEAST,47.66192,-122.30998,1924,1.0,3,20686,0,20686,Other - Lodging/Residential,Other - Lodging/Residential,20686.0,,,,,,1207504.0,Compliant,,Mono-usage
26906,2016,NonResidential,Residence Hall,4503,4503 17th Ave NE,Seattle,WA,98105.0,8823902415,4,NORTHEAST,47.6617,-122.31007,1929,1.0,3,22124,0,22124,Residence Hall/Dormitory,Residence Hall/Dormitory,22124.0,,,,,,637685.0,Compliant,,Mono-usage
